,TMDB ID,Title,Release Date,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
13,658397,Apparition,2019-12-27,tt2959536,Not Rated,100 min,"Fantasy, Horror, Thriller",Quinn Saunders,"Pete Cafaro, Pete Cafaro, Andrew Kayros, Andrew Kayros","Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong","When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.",English,USA,13 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTUyOTQzOTk4NV5BMl5BanBnXkFtZTgwNDE0MDM1NTE@._V1_SX300.jpg,4.0,541,,,movie,N/A,N/A,N/A
14,661351,Toxicity,2019-12-26,tt7120010,N/A,83 min,"Crime, Drama",Andrew Ericksen,Andrew Ericksen,"Colleen Gentry, Vicky Dawson, Terri Partyka, Theresa Byron",A young widower moves home with his mother and their strained relationship grows even more complicated as he becomes the primary suspect in his wife's suspicious death.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTEyNWU2MDYtYjNlZS00NDQ3LWFmYzktYTE3ZGMyYjA5MjAyXkEyXkFqcGdeQXVyMTYzNTYxOA@@._V1_SX300.jpg,3.1,21,,,movie,N/A,N/A,N/A
15,617768,The Song of Names,2019-12-25,tt1657517,PG-13,113 min,Drama,François Girard,"Norman Lebrecht (based on the novel by), Jeffrey Caine (screenplay)","Clive Owen, Tim Roth, Jonah Hauer-King, Catherine McCormack","Several years after his childhood friend, a violin prodigy, disappears on the eve of his first solo concert, an Englishman travels throughout Europe to find him.",English,"Canada, Hungary",2 nominations.,https://m.media-amazon.com/images/M/MV5BZGY5N2U3YzktNDU5NC00Mzc5LWI4YmEtZTI0MWRiYjdlZjg3XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,6.2,221,,,movie,N/A,N/A,N/A
16,331482,Little Women,2019-12-25,tt0110367,PG,115 min,"Drama, Family, Romance",Gillian Armstrong,"Louisa May Alcott (novel), Robin Swicord (screenplay)","Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis",The March sisters live and grow in post-Civil War America.,"English, German, French","USA, Canada",Nominated for 3 Oscars. Another 5 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BNmJhNTgzMWYtZTU5OC00MmE2LTlkN2UtNWE0MmJiNWJmNmZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.3,"45,297",,,movie,26 Feb 2008,N/A,N/A
17,522212,Just Mercy,2019-12-25,tt4916630,PG-13,136 min,Drama,Destin Daniel Cretton,"Destin Daniel Cretton, Andrew Lanham, Bryan Stevenson (based on the book by)","Brie Larson, Michael B. Jordan, Jamie Foxx, Rafe Spall",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,English,USA,7 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYmM4YzA5NjUtZGEyOS00YzllLWJmM2UtZjhhNmJhM2E1NjUxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.4,"1,551",,,movie,N/A,N/A,Warner Bros. Pictures
18,431693,Spies in Disguise,2019-12-25,tt5814534,PG,102 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Nick Bruno, Troy Quane","Lucas Martell (inspired by: the animated short film ""Pigeon: Impossible""), Brad Copeland (screenplay by), Lloyd Taylor (screenplay by)","Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado","When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world.","English, Japanese",USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BNzg1MzM3OWUtNjgzZC00NjMzLWE1NzAtOThiMDgyMjhhZDBhXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,6.8,"5,099",,,movie,N/A,N/A,Blue Sky/Chernin Entertainment
19,449924,Ip Man 4: The Finale,2019-12-25,tt2076298,N/A,105 min,"Action, Biography, Drama, History",Wilson Yip,"Tai-lee Chan (screenplay), Hiroshi Fukazawa, Lai-Yin Leung (screenplay), Edmond Wong","Donnie Yen, Scott Adkins, Kwok-Kwan Chan, Vanness Wu",The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,"Mandarin, Cantonese","Hong Kong, China",1 nomination.,https://m.media-amazon.com/images/M/MV5BY2FkY2QzOTctNmViZi00YTU5LTk5ZmQtMTJhMzFiOTIyZDc2XkEyXkFqcGdeQXVyNzQ2NTQzMDk@._V1_SX300.jpg,7.5,"2,979",,,movie,N/A,N/A,N/A
21,642548,Broken Dreams,2019-12-20,tt0023849,Approved,68 min,Drama,Robert G. Vignola,"Maude Fulton, Olga Printzlau (story)","Randolph Scott, Martha Sleeper, Beryl Mercer, Joseph Cawthorn",Medical intern Robert Morley is distraught after his wife dies in childbirth. He's resentful of his new son and wants nothing to do with him. He leaves the child with his aunt and uncle and...,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTMyOTc4MTkzNV5BMl5BanBnXkFtZTcwNTUxMzcyMw@@._V1_SX300.jpg,6.0,37,,,movie,26 Apr 2005,N/A,Monogram
22,536869,Cats,2019-12-20,tt5697572,PG,110 min,"Comedy, Drama, Family, Fantasy, Musical",Tom Hooper,"T.S. Eliot (poetry collection ""Old Possum's Books of Practical Cats""), Lee Hall (screenplay), Tom Hooper (screenplay), Andrew Lloyd Webber (musical)","Jennifer Hudson, Judi Dench, Taylor Swift, Robbie Fairchild",A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,English,"UK, USA",Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjRlNTY3MTAtOTViMS00ZjE5LTkwZGItMGYwNGQwMjg2NTEwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,2.8,"20,921",,,movie,N/A,N/A,N/A
25,656216,Bernie the Dolphin 2,2019-12-17,tt9149946,G,99 min,"Action, Comedy, Family",Kirk Harris,"Terri Emerson, Marty Poole","Patrick Muldoon, Kevin Sorbo, Tommi Rose, Vincent De Paul","The kids are thrilled that Bernie has come back. But so has their old enemy Winston, who's about to kidnap the talented dolphin. Kevin and Holly must rescue their splashy friend before it's too late.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BOWZiM2I1NjgtMGQyZi00YmFhLTkxOTctMjMwMzFhZDYxOTgzXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_SX300.jpg,4.5,15,,,movie,N/A,N/A,N/A
27,546724,We Summon the Darkness,2019-12-13,tt8058874,N/A,83 min,"Horror, Thriller",Marc Meyers,Alan Trezza,"Alexandra Daddario, Maddie Hasson, Johnny Knoxville, Keean Johnson",Plot unknown.,N/A,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDMyNjJjYjEtZGQyZi00NWNhLThiMzMtYTc3M2ExYzJlNmEzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,6.1,42,,,movie,N/A,N/A,N/A
28,621754,Cunningham,2019-12-13,tt8574836,PG,93 min,"Documentary, Biography, Music",Alla Kovgan,Alla Kovgan,"Carolyn Brown, John Cage, Ashley Chen, Brandon Collwes","The iconic Merce Cunningham and the last generation of his dance company is stunningly profiled in Alla Kovgan's 3D documentary, through recreations of his landmark works and archival footage of Cunningham, John Cage, and Robert Rauschenberg.",English,"Germany, France, USA",1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BY2YxZDJkMjctOTRhZS00MGM5LWI5NWItMjRlNzFjOTZiYzI0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,6.3,98,,,movie,N/A,N/A,Magnolia Pictures
29,473033,Uncut Gems,2019-12-13,tt5727208,R,135 min,"Crime, Drama, Mystery, Thriller","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie, Benny Safdie","Mesfin Lamengo, Suin Zhi Hua-Hilton, Liang Wei-Hei Duncan, Sunny Wu Jin Zahoo","A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",English,USA,19 wins & 73 nominations.,https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,8.0,"22,790",,,movie,N/A,N/A,A24
30,292011,Richard Jewell,2019-12-13,tt3513548,R,131 min,"Biography, Crime, Drama",Clint Eastwood,"Marie Brenner (magazine article), Billy Ray (screenplay)","Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz","American security guard Richard Jewell saves thousands of lives from an exploding bomb at the 1996 Olympics, but is vilified by journalists and the press who falsely reported that he was a terrorist.",English,USA,Nominated for 1 Oscar. Another 5 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BOTFlODg1MTEtZTJhOC00OTY1LWE0YzctZjRlODdkYWY5ZDM4XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg,7.6,"9,503",,,movie,N/A,N/A,N/A
31,525661,Bombshell,2019-12-13,tt6394270,R,109 min,"Biography, Drama",Jay Roach,Charles Randolph,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow",A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,English,"USA, Canada",Nominated for 2 Golden Globes. Another 8 wins & 44 nominations.,https://m.media-amazon.com/images/M/MV5BZjlhOWE3YjktY2MzOC00ZmQ1LWIwNjgtZmVhZmFjZGExMzgyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,6.6,"5,085",,,movie,N/A,N/A,N/A
32,510298,Seberg,2019-12-13,tt1780967,R,102 min,"Biography, Drama, Thriller",Benedict Andrews,"Joe Shrapnel, Anna Waterhouse","Kristen Stewart, Yvan Attal, Gabriel Sky, Jack O'Connell","Inspired by real events in the life of French New Wave icon Jean Seberg. In the late 1960s, Hoover's FBI targeted her because of her political and romantic involvement with civil rights activist Hakim Jamal.","English, French","UK, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BNjk5MTdhZGQtMDEzMC00NTk3LTg1ZjgtZTNhN2RlYzY3N2U1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,4.8,"1,128",,,movie,N/A,N/A,N/A
33,592128,Mob Town,2019-12-13,tt8722440,R,90 min,"Crime, Drama",Danny A. Abeckaser,"Jon Carlo, Joe Gilford","David Arquette, Danny A. Abeckaser, P.J. Byrne, Jamie-Lynn Sigler","It is a story about the famed meeting of the heads of the Mafia in 1957 in upstate Apalachin, NY.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNWIzNjEwMTUtMTgwNS00OWQzLWFmOWUtYzMyNjI1OTEwZTc1XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,4.2,196,,,movie,N/A,N/A,N/A
34,384756,Rabid,2019-12-13,tt0076590,R,91 min,"Horror, Sci-Fi",David Cronenberg,David Cronenberg,"Marilyn Chambers, Frank Moore, Joe Silver, Howard Ryshpan","A young woman develops a taste for human blood after experimental plastic surgery, and her victims turn into blood-thirsty zombies, leading into a city-wide epidemic.",English,Canada,2 wins.,https://m.media-amazon.com/images/M/MV5BZmNjNGY5ZTEtODQ2Yi00ZTFiLTg3YjAtYWQ4NWU1YmZjODY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.3,"14,278",,,movie,24 Oct 2000,N/A,New Concorde Home Entertainment
35,644009,One Winter Night,2019-12-13,tt6692264,N/A,130 min,"Drama, Horror, Mystery",Ryan Callaway,Ryan Callaway,"Breanna Engle, Brittini Schreiber, Ariella Mossey, Isabelle Zufferey Boulton",An Orthodox Jewish mother and her daughters fall prey to the malevolent forces that preside over a rural community.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYjUxMWUwYjktOTUxNS00MzY2LTgzM2UtOGZjZTZkNDhmMTk3XkEyXkFqcGdeQXVyODk5MjQ1Nw@@._V1_SX300.jpg,6.3,163,,,movie,N/A,N/A,N/A
36,130421,Hanukkah,2019-12-13,tt2562146,N/A,N/A,Horror,Eben McGarr,Eben McGarr,"Charles Fleischer, Sid Haig, Caroline Williams, P.J. Soles","A group of Jewish young adults are preparing for the holidays, but are in for a Festival of Frights. With the help of a wise Rabbi, they deduce that they are being targeted because they ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODYyNzg1ODktNDAwYS00Y2EzLWE3NWUtODM3YzNkZDk0YzQwXkEyXkFqcGdeQXVyMTcyMTk1Mg@@._V1_SX300.jpg,N/A,N/A,,,movie,N/A,N/A,N/A
37,403300,A Hidden Life,2019-12-13,tt5827916,PG-13,174 min,"Biography, Drama, Romance, War",Terrence Malick,Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon, Karin Neuhäuser","The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.","English, German, Italian","Germany, USA",3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMDk4OTU0ZjctMjhhYS00YmVlLThlMDAtMjU4YzhlN2IyYzI3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.7,"3,071",,,movie,N/A,N/A,Fox Searchlight Pictures
38,551808,Black Christmas,2019-12-13,tt0071222,R,98 min,"Horror, Mystery, Thriller",Bob Clark,Roy Moore (screenplay),"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon","During their Christmas break, a group of sorority girls are stalked by a stranger.",English,Canada,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMDUxM2IyYzgtMjU1ZS00Mzc4LWIwMmUtYzczMzM5ZWIzNGUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.2,"30,180",,,movie,06 Nov 2001,N/A,Warner Bros. Pictures
39,639477,American Hunt,2019-12-10,tt8918392,N/A,80 min,"Horror, Thriller",Aaron Mirtes,Aaron Mirtes,"Brad Belemjian, David Ditmore, Lacy Hartselle, Taylor Novak","A group of friends is torn apart when they become part of two human hunter's sick game. The men give them ten minutes to hide, and then the real hunt begins.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTM5YjEyNTItMWU5Ny00ZWVmLWEzYmEtYzg0ZTRlMWJhNmFhXkEyXkFqcGdeQXVyNTA0MDQ3NjY@._V1_SX300.jpg,5.3,39,,,movie,N/A,N/A,N/A
40,530915,1917,2019-12-10,tt8579674,R,119 min,"Drama, War",Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","Two young British soldiers during the First World War are given an impossible mission: deliver a message deep in enemy territory that will stop 1,600 men, and one of the soldiers' brothers, from walking straight into a deadly trap.","English, French, German","UK, USA",Won 2 Golden Globes. Another 51 wins & 153 nominations.,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,8.6,"8,580",,,movie,N/A,N/A,Universal Pictures
41,655587,Infernum,2019-12-10,tt1786520,N/A,7 min,"Short, Drama, History",Ted Marcus,"Ted Marcus (story), Ted Marcus, Ted Marcus","David Dayan Fisher, Charlie Hunter, Vera R. Taylor, Denis O'Mahoney","A high-stakes drama of redemption and death, set during the chaos and brutality of the medieval Inquisition.",English,USA,N/A,N/A,4.6,8,,,movie,N/A,N/A,N/A
43,588787,Ordinary Love,2020-02-14,tt6012380,R,92 min,"Drama, Romance","Lisa Barros D'Sa, Glenn Leyburn",Owen McCafferty,"Liam Neeson, Lesley Manville, Amit Shah, David Wilmot",An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,English,UK,3 nominations.,https://m.media-amazon.com/images/M/MV5BNTIyOTViNDEtOTI1My00ODk3LWJlMjAtMDZiMDJhZWU0MjM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,7.5,272,,,movie,N/A,N/A,N/A
44,474764,The Lodge,2020-02-07,tt0475323,R,83 min,"Horror, Thriller","Brad Helmink, John Rauschelbach",Deb Havener,"Kevin McClatchy, Elizabeth Kell, Owen Szabo, Mandi Kreisher",A young couple's weekend getaway at a secluded mountain ranch becomes an unfathomable nightmare when they discover the truth about the caretaker.,English,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTY5NDY0Mzg1Nl5BMl5BanBnXkFtZTcwNTkzMzk2MQ@@._V1_SX300.jpg,3.9,"1,196",,,movie,24 Jun 2008,N/A,Monarch Home Video
45,650272,Beyond the Law,2019-12-06,tt0103805,R,108 min,"Crime, Drama, Thriller",Larry Ferguson,Larry Ferguson,"Charlie Sheen, Linda Fiorentino, Michael Madsen, Courtney B. Vance","An undercover cop joins a murderous, arms-dealing biker gang to try to put them behind bars.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjE3MDQxNTkxNF5BMl5BanBnXkFtZTcwNzYzMzgxMQ@@._V1_SX300.jpg,6.6,"5,897",,,movie,19 Jun 2001,N/A,Lionsgate
46,537788,Daniel Isn't Real,2019-12-06,tt8745960,Not Rated,100 min,Thriller,Adam Egypt Mortimer,"Brian DeLeeuw (novel), Brian DeLeeuw, Adam Egypt Mortimer","Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson","A troubled college freshman, Luke, suffers a violent family trauma. He then resurrects his charismatic childhood imaginary friend Daniel to help him cope, not realizing how dangerous Daniel is.",English,USA,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNDFhMGJjMjQtODU0OC00NWQ5LWJhNjctOTZiZjA4NTYyZWQyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,6.0,"1,473",,,movie,N/A,N/A,N/A
47,491037,The Mandela Effect,2019-12-06,tt6544220,N/A,80 min,"Drama, Sci-Fi, Thriller",David Guy Levy,"David Guy Levy, Steffen Schlachtenhaufen","Charlie Hofheimer, Aleksa Palladino, Robin Lord Taylor, Clarke Peters","A man becomes obsessed with facts and events that have been collectively misremembered by thousands of people. Believing the phenomena to be the symptom of something larger, his obsession eventually leads him to question reality itself.","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzA5ZjY3MGQtY2QxOC00Zjc1LWIzNWYtMDJlMTdkZDFiZjU5XkEyXkFqcGdeQXVyMTUyMzIxNw@@._V1_SX300.jpg,5.7,599,,,movie,N/A,N/A,N/A
48,461130,Code 8,2019-12-13,tt6259380,N/A,98 min,"Crime, Drama, Sci-Fi, Thriller",Jeff Chan,"Chris Pare (screenplay by), Jeff Chan (story by)","Stephen Amell, Laysla De Oliveira, Robbie Amell, Kari Matchett",A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNmQ2NWMyZDgtNWQ5My00ZmQwLWE0MTQtN2ZiNjY2ODc0Y2YxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.1,"9,006",,,movie,N/A,N/A,N/A
49,641790,Trauma Center,2019-12-06,tt9625664,R,87 min,"Action, Thriller",Matt Eskandari,Paul Da Silva,"Bruce Willis, Nicky Whelan, Steve Guttenberg, Lala Kent","Alone and trapped in a locked-down hospital isolation ward overnight, an injured young woman must escape a pair of vicious killers who are after the only piece of evidence that can ...","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTRkNWM1MmEtZDYzOC00NWI2LTljYzctYWIwYTdjYWNjYTMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,5.1,"2,741",,,movie,N/A,N/A,N/A
50,652618,Dropa,2019-12-06,tt1822395,N/A,101 min,"Drama, Sci-Fi, Thriller",Wayne Slaten,Wayne Slaten,"Jason Douglas, David Matranga, James Hong, Shayla Bagir",The hunt is on as a government assassin comes out of retirement to track down a killer extraterrestrial murdering the former members of his team in this science fiction thriller set in an alternate future America.,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BZTc0ZWE5ZDAtYjE1ZS00OTVhLTgzMmItMTFiOTQ5ZjRkODJlXkEyXkFqcGdeQXVyODA0MzExMjY@._V1_SX300.jpg,3.9,113,,,movie,N/A,N/A,N/A
51,660609,Uncorked,2019-12-06,tt1410068,TV-PG,N/A,"Drama, Romance",David S. Cass Sr.,Jim Head,"Julie Benz, JoBeth Williams, Elliott Gould, Scott Elrod",Johnny is a high-powered executive who is definitely not looking to fall in love but a business conference takes her to wine country she meets a handsome widower Andrew who invites Johnny ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BM2I5MDJlOGItMzVhMC00OTY2LTg1YTMtNjRhMmUyNGYyNzI3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,6.3,646,,,movie,N/A,N/A,N/A
52,648510,Most Likely to Succeed,2019-12-06,tt4267108,N/A,86 min,"Documentary, Drama, News",Greg Whiteley,Greg Whiteley,"Laszlo Bock, Brian Cesson, Scott Swaaley",A powerful documentary examining education in America and inspiring school communities to re-imagine what students and teachers are capable of doing.,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BNTgxMDI4MjY1N15BMl5BanBnXkFtZTgwNDQxNjY3MzE@._V1_SX300.jpg,8.3,106,,,movie,N/A,N/A,One Potato Productions
